Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Category,Status,Family,MPN,Digi-Key_PN,DK_Datasheet_Link,DK_Detail_Page,Manufacturer,Cost,Package,Field4,Field6,Field5
1,RF ANT 2.4GHZ CHIP SOLDER SMD,2450AT18A100E,ANT1,2450AT18A100E,Antenna_1.6x3.2mm_2450AT18A100E,1,https://www.johansontechnology.com/datasheets/2450AT18A100/2450AT18A100.pdf,RF/IF and RFID,Active,RF Antennas,2450AT18A100E,712-1005-1-ND,https://www.johansontechnology.com/datasheets/2450AT18A100/2450AT18A100.pdf,/product-detail/en/johanson-technology-inc/2450AT18A100E/712-1005-1-ND/1560834,Johanson Technology Inc.,,,,,
2,,BAT-HLD-001-THM,BT1,BAT-HLD-001-THM,LINX_BAT-HLD-001-THM,1,https://linxtechnologies.com/wp/wp-content/uploads/bat-hld-001-thm.pdf,,,,BAT-HLD-001-THM,BAT-HLD-001-THM-ND,,,Linx Technologies Inc.,,,,,
3,Unpolarized capacitor,C,C16,1pF,C_0201_0603Metric,1,~,,,,250R05L1R0BV4T,712-1181-1-ND,,,Johanson Technology Inc.,,,,,
4,Unpolarized capacitor,C,C24,1pF,C_0201_0603Metric,1,~,,,,500R07S1R0BV4T,712-1266-1-ND,,,,,,,,
5,"Unpolarized capacitor, small symbol",C_Small,C18 C19 C20 C21,12pF,C_0201_0603Metric,4,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM0335C1E120GA01-01.pdf,,,,GRM0335C1E120GA01D,490-11967-1-ND,,,Murata Electronics,,,,,
6,Unpolarized capacitor,C,C10,820pF,C_0201_0603Metric,1,~,,,,GRM0335C1E821JA01D,490-16368-1-ND,,,Murata Electronics,,,,,
7,Unpolarized capacitor,C,C2,47nF,C_0201_0603Metric,1,~,,,,CL03A473KQ3NNNC,1276-1336-1-ND,,,Samsung Electro-Mechanics,,,,,
8,Unpolarized capacitor,C,C13 C14 C15,100nF,C_0201_0603Metric,3,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM033C71C104KE14-01.pdf,,,,GRM033C71C104KE14D,490-10387-1-ND,,,Murata Electronics,,,,,
9,Unpolarized capacitor,C,C22 C23,100nF,C_0201_0603Metric,2,~,,,,,490-12686-1-ND,,,,,,,,
10,Unpolarized capacitor,C,C6,100nF,C_0201_0603Metric,1,~,,,,CL03A104KQ3NNNC,1276-1013-1-ND,,,Samsung Electro-Mechanics,,,,,
11,Unpolarized capacitor,C,C1 C12,1uF,C_0402_1005Metric,2,~,,,,GRM155R70J105KA12J,490-13339-1-ND,,,Murata Electronics,,,,,
12,Unpolarized capacitor,C,C5 C11 C17,1uF,C_0402_1005Metric,3,~,,,,CL05A105KQ5NNNC,1276-1010-1-ND,,,Samsung Electro-Mechanics,,,,,
13,Unpolarized capacitor,C,C3 C7,4.7uF,C_0402_1005Metric,2,~,,,,CL05A475KP5NRNC,1276-1480-1-ND,,,Samsung Electro-Mechanics,,,,,
14,Unpolarized capacitor,C,C8,4.7uF,C_0402_1005Metric,1,~,,,,C1005X6S0G475M050BC,445-8017-1-ND,,,TDK Corporation,,,,,
15,Unpolarized capacitor,C,C9,10uF,C_0402_1005Metric,1,~,,,,CL05A106MP5NUNC,1276-1450-1-ND,,,Samsung Electro-Mechanics,,,,,
16,Unpolarized capacitor,C,C4,22uF,C_0402_1005Metric,1,~,,,,CL05A226MQ5N6J8,1276-7090-1-ND,,,Samsung Electro-Mechanics,,,,,
17,"Light emitting diode, small symbol, filled shape",LED_Small_ALT,D1,LED1 RED,LED_0402_1005Metric,1,~,,,,,350-4447-1-ND,,,,,,,,
18,"Light emitting diode, small symbol, filled shape",LED_Small_ALT,D2,LED2 ORG,LED_0402_1005Metric,1,~,,,,,350-4448-1-ND,,,,,,,,
19,CONN RCPT USB2.0 MICRO B SMD R/A,10118193-0001LF,J1,10118193-0001LF,USB_Micro_B_Female_10118193-0001LF,1,http://www.amphenol-icc.com/media/wysiwyg/files/drawing/10118193.pdf,"Connectors, Interconnects",Active,"USB, DVI, HDMI Connectors",10118193-0001LF,609-4616-1-ND,http://www.amphenol-icc.com/media/wysiwyg/files/drawing/10118193.pdf,/product-detail/en/amphenol-icc-fci/10118193-0001LF/609-4616-1-ND/2785380,Amphenol ICC (FCI),,,,,
20,Inductor,L,L7,2.7nH,L_0201_0603Metric,1,~,,,,L-07C2N7SV6T,712-1415-1-ND,,,Johanson Technology Inc.,,,,,
21,Inductor,L,L4,3.9nH,L_0201_0603Metric,1,~,,,,MLG0603PPA3N9CT000,445-174884-1-ND,,,TDK Corporation,,,,,
22,Inductor,L,L6,3.9nH,L_0201_0603Metric,1,~,,,,L-07C3N9SV6T,712-1459-1-ND,,,Johanson Technology Inc.,,,,,
23,Inductor,L,L5,4.7nH,L_0201_0603Metric,1,~,,,,LQP03TN4N7H02D,490-7788-1-ND,,,Murata Electronics,,,,,
24,Inductor,L,L2,15nH,L_0201_0603Metric,1,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243C-0015.pdf,,,,LQP03TN15NJ02D,490-5570-1-ND,,,Murata Electronics,,,,,
25,Inductor,L,L1,2.2uH,L_0603_1608Metric,1,https://www.we-online.com/catalog/datasheet/7447860022.pdf,,,,7447860022,732-7447860022CT-ND,,,WÃ¼rth Elektronik,,,,,
26,Inductor,L,L3,10uH,L_0603_1608Metric,1,https://product.tdk.com/info/en/catalog/datasheets/inductor_commercial_decoupling_mlz1608_en.pdf?ref_disty=digikey,,,,MLZ1608N100LT000,445-6755-1-ND,,,TDK Corporation,,,,,
27,,ICS-41350,MK1,ICS-41350,MIC_ICS-41350,1,https://invensense.tdk.com/wp-content/uploads/2016/02/DS-000047-ICS-41350-v1.1.pdf?ref_disty=digikey,,,,ICS-41350,1428-1064-1-ND,,,TDK-InvenSense,1.30 USD,,,,
28,"Resistor, small US symbol",R_Small_US,R2 R5 R19 R20 R21 R22 R23 R25 R33,0R,R_0201_0603Metric,9,~,,,,RC0201JR-070RL,311-0.0NCT-ND,,,Yageo,,,,,
29,"Resistor, small US symbol",R_Small_US,R6 R7,0R,R_0402_1005Metric,2,~,,,,RC0402FR-070RL,311-0.0LRCT-ND,,,Yageo,,,,,
30,"Resistor, small US symbol",R_Small_US,R8 R9,220R,R_0201_0603Metric,2,~,,,,RC0201JR-07220RL,311-220NCT-ND,,,Yageo,,,,,
31,"Resistor, small US symbol",R_Small_US,R3,768k,R_0201_0603Metric,1,~,,,,,P123157CT-ND,,,,,,,,
32,"Resistor, small US symbol",R_Small_US,R1 R4,NO_STUFF,R_0201_0603Metric,2,~,,,,,,,,,,,,,
33,"Resistor, small US symbol",R_Small_US,R10 R11 R28,NO_STUFF,R_0402_1005Metric,3,~,,,,,,,,,,,,,
34,"Resistor, small US symbol",R_Small_US,R30,NO_STUFF,R_0402_1005Metric,1,~,,,,RC0402FR-070RL,311-0.0LRCT-ND,,,Yageo,,,,,
35,SWITCH TACTILE SPST-NO 0.05A 12V,B3U-1000P,S1,B3U-1000P,Switch_Tactile_SMD_B3U-1000P,1,https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3u.pdf,Switches,Active,Tactile Switches,B3U-1000P,SW1020CT-ND,https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3u.pdf,/product-detail/en/omron-electronics-inc-emc-div/B3U-1000P/SW1020CT-ND/1534357,Omron Electronics Inc-EMC Div,,,,,
36,,BMA400,U5,BMA400,XDCR_BMA400,1,https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BMA400-DS000.pdf,,,,BMA400,828-1081-1-ND,,,Bosch Sensortec,,LGA-12,,,
37,,LM66100DCKT,U1 U4,LM66100DCKT,LM66100DCKT,2,https://www.ti.com/lit/ds/symlink/lm66100.pdf?HQS=TI-null-null-digikeymode-df-pf-null-wwe&ts=1591950231750,,,,LM66100DCKT,296-53540-1-ND,,,Texas Instruments,,,,,
38,,MAX38640AENT+,U2,MAX38640AENT+T,MAX38640AENT&plus_,1,https://www.mouser.com/datasheet/2/256/MAX38640A-MAX38643B-1622807.pdf,,,,MAX38640AENT+T,,,,,,,,,
39,,NRF52840-CKAA-R7,U3,NRF52840-CKAA-R7,BGA94N35P10X10_360X354X51N,1,https://www.mouser.com/datasheet/2/297/nRF52840_PS_v1.1-1623672.pdf,,,,NRF52840-CKAA-R7,,,,Nordic,,WLCSP-94,Nordic,IPC7351B,0.514mm
40,"10 pA, Ultra Low Leakage and Quiescent Current, Load Switch with Reverse Blocking, High Enable, SC-70-6",SiP32431DR3,U8,SiP32431DR3,SOT-363_SC-70-6,1,http://www.vishay.com.hk/docs/66597/sip32431.pdf,,,,SiP32431DR3,SIP32431DR3-T1GE3CT-ND,,,Vishay Siliconix,,,,,
41,,W25N01GVZEIG_TR,U6,W25N01GVZEIG_TR,SON127P800X600X80-9N,1,None,,,,W25N01GVZEIG TR,W25N01GVZEIGCT-ND,,,Winbond Electronics,,WSON-8,,,
42,"Two pin crystal, small symbol",Crystal_Small,Y1,32.768kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,https://media.digikey.com/pdf/Data%20Sheets/NDK%20PDFs/NX3215SA-32.768K-STD-MUA-9.pdf,,,,NX3215SA-32.768K-STD-MUA-9,644-1155-1-ND,,,"NDK America, Inc.",,XTAL_3215,,,
43,"Four pin crystal, GND on pins 2 and 4, small symbol",Crystal_GND24_Small,Y3,32MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,https://www.jauch.com/downloadfile/5887341fd9d6d_e24753b87ed34902e36f/jxs21wa_190403_online.pdf,,,,"Q 32,0-JXS21-8-10/10-FU-WA-LF",1908-1284-1-ND,,,Jauch Quartz,,,,,





Component Groups:,43
Component Count:,67
Fitted Components:,67
Number of PCBs:,1
Total components:,67
Schematic Version:,A
Schematic Date:,2020-06-08
PCB Variant:,[u'default']
BoM Date:,"Friday, November 20, 2020 at 03:55:55 PM"
Schematic Source:,shio.sch
KiCad Version:,Eeschema (5.1.5-0-10_14)
